Time,T1,T2,T3,T4,T5
0.0,0.0024404038326847942,0.0024404038326847942,0.0024404038326847942,0.0024404038326847942,0.0024404038326847942
0.1,0.0024404063025968777,0.0024404383219747807,0.002441141283951297,0.0024724571128600576,0.04097405370525067
0.2,0.0024404647486481017,0.0024408871314847667,0.0024461397644947027,0.0025687046948905945,0.07965188127288184
0.30000000000000004,0.00244080761125061,0.002442714746710363,0.002459454071916725,0.00272928044176084,0.11847375167957934
0.4,0.00244193601732823,0.002447356813063196,0.002484842476466612,0.002954316562340105,0.15743944099228346
0.5,0.002444674506946914,0.002456617268150958,0.00252582276999528,0.0032439448736056786,0.19654863330823313
0.6000000000000001,0.0024501590992992528,0.002472556619486227,0.0025856860765836767,0.0035982963699949916,0.23580092314917178
0.7000000000000001,0.002459814136710049,0.00249740934162474,0.0026675147362929105,0.004017501087147858,0.2751958167766001
0.8,0.002475303096311739,0.0025335350415193964,0.0027741916172636786,0.004501687944130992,0.31473273087765735
0.9,0.002498493528999774,0.002583360605907546,0.0029084152493809613,0.0050509845946068955,0.3544109933978583
1.0,0.0025314204250754856,0.002649347519515519,0.0030727100845301713,0.005665517304690189,0.3942298439033924
1.1,0.00257623646522101,0.002733949879080143,0.0032694403262489174,0.006345410784486595,0.4341884341073158
1.2000000000000002,0.0026351729793076184,0.0028395937849491986,0.00350082019683263,0.007090788046673652,0.474285828409424
1.3,0.002710508760331723,0.0029686604513198592,0.003768923224087391,0.007901770273214528,0.5145210044520303
1.4000000000000001,0.0028045411777612383,0.003123469732743846,0.004075692225669805,0.008778476665004092,0.554892853798774
1.5,0.002919568324519261,0.0033062716773331453,0.004422946117419456,0.009721024331816682,0.5954001824853888
1.6,0.003057859005291085,0.0035192347460856494,0.004812391141253888,0.010729528105423243,0.6360417119943159
1.7000000000000002,0.0032216449859274196,0.0037644446051279044,0.0052456254695791935,0.011804100447481196,0.6768160798556101
1.8,0.0034130969505345114,0.004043895518625918,0.00572414988041243,0.012944851259779596,0.7177218407340387
